"tweet_id","in_reply_to_status_id","in_reply_to_user_id","retweeted_status_id","retweeted_status_user_id","timestamp","source","text","expanded_urls"
"243700851955339264","","","243452183058710528","16629477","2012-09-06 13:23:05 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>","RT @dgmacarthur: Great post by @matthewherper on shifting landscape of drug development: http://t.co/M98kmazu New focus on rare diseases.","http://www.forbes.com/sites/matthewherper/2012/09/05/how-a-440000-drug-is-turning-alexion-into-biotechs-new-innovation-powerhouse/"
"243572980599386113","","","243405241821843457","151263914","2012-09-06 04:54:58 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>","RT @EvolvingCritic: To learn about Boston's ubiquitous triple deckers, this is an excellent book. Just click and read: http://t.co/XskTU ..."
"243571536638926848","243363288224784384","92578646","","","2012-09-06 04:49:14 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>","@dragonflower7 still busy unpacking &amp; rearranging… How are you?"
"243348719972524032","","","243283165928640513","34347535","2012-09-05 14:03:50 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>","RT @StanCarey: Amazing star maps from 1693 http://t.co/roZNowrb","http://www.davidrumsey.com/blog/2012/8/21/mapping-the-heavens-in-1693"
"243115398290100224","","","243088964922273793","7079752","2012-09-04 22:36:42 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>","RT @ianholmes: Police move in on protest against poorly documented bioinformatics software http://t.co/8rDAzG2m @jamesdotcuff @iddux @hy ...","http://ow.ly/i/Uesn"
"243053115681689600","","","243050819409305600","30912452","2012-09-04 18:29:13 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>","RT @Market_Spy: Wow! Super helpful RT @larryvc: Useful guide to Boston tech scene via @robgo: 2012 Hitchhiker's Guide to Boston Tech htt ..."
"242983342323163136","","","242778763853709312","16629477","2012-09-04 13:51:57 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>","RT @dgmacarthur: Excellent piece by @ctitusbrown on irreproducible bioinformatics: http://t.co/XLwTri4V","http://shar.es/7FdhE"
"242977514685870081","","","242390952675790849","14156466","2012-09-04 13:28:48 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>","RT @reiver: The fused chromosome 2 was in Denisova http://t.co/ZKx2RZ5K","http://ow.ly/dpBEz"
"242977145629061121","","","242321239924961281","25166438","2012-09-04 13:27:20 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>","RT @dienekesp: Population-specific SNPs and archaic admixture in Homo sapiens: A population-specific SNP is one which both alle... http: ..."
"242972318928887808","","","242322457917284352","740109097","2012-09-04 13:08:09 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>","RT @SarcasticRover: At the rate the NASA budget is getting slashed, our next Mars mission will be an iPad launched with a trebuchet."
"242971620979908609","","","242262273710780417","17655243","2012-09-04 13:05:23 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>","RT @arisia: Arisia volunteer meeting Sunday Sept 9 at 2 pm  --- all are welcome.   Directions, etc, see http://t.co/rBMOzuwQ","http://tinyurl.com/8c862mv"
"242968703908605952","","","242056920750510081","387514741","2012-09-04 12:53:47 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>","RT @ScienceEnabled: Begging questions about philosophy, science and everything else http://t.co/M6bM8S8S","http://ow.ly/1mfkFn"
"242964473047044096","","","241767983993724928","16377511","2012-09-04 12:36:59 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>","RT @rickasaurus: Have Three Little Photons Broken Theoretical Physics? http://t.co/84JOVaqU","http://www.space.com/17399-gamma-ray-photons-quantum-spacetime.html"
"242962238669983744","","","241887996230660097","1070491","2012-09-04 12:28:06 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>","RT @cthulhu: CTHULHU/NYARLATHOTEP 2012"
"242375110219165696","","","241700055101345792","12705772","2012-09-02 21:35:04 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>","RT @universalhub: RT @bostonography: Don't forget to put out some pizza and PBR for Allston Santa tonight, kids!"
"242373598138990592","","","241677753680805888","16467567","2012-09-02 21:29:03 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>","RT @reason: Montana's First Registered Medical Marijuana Caregiver Dies in Federal Prison http://t.co/3pHI7fLG","http://ow.ly/1mewuV"
"242329869587976193","","","241626939159359488","21802508","2012-09-02 18:35:17 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>","RT @ScottLinnen: I blew up a math lab. 
That shit's destroying lives."
"242325455640870912","","","241557357744775169","387514741","2012-09-02 18:17:45 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>","RT @ScienceEnabled: Genome Brings Ancient Girl to Life - In a stunning technical feat, an international team of scientists has sequenced ..."
"242262361925378049","","","240949198827188224","121777206","2012-09-02 14:07:02 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>","RT @PhilippBayer: ""Hey, this bioinformatics program just works out of the box"" - said by: no-one, ever."
"242118011497086977","","","241263627431206912","20149254","2012-09-02 04:33:26 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>","RT @healthmap: #DiseaseDaily Heartland Virus: New Phlebovirus Found in Missouri http://t.co/hW4VFksh #HealthMap","http://bit.ly/SYRTAk"
"241660938653147136","","","241190081770184705","52584039","2012-08-31 22:17:12 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>","RT @johnhawks: Ironic to see a news story describing home canning as a ""new"" trend."
"241660746411433985","","","241177728118845440","13800212","2012-08-31 22:16:26 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>","RT @jennywilliams: My GeekMom review of some fantastic custom made dice: http://t.co/sk6MNErv","http://www.wired.com/geekmom/2012/08/magnificent-custom-dice/"
